pais,cluster
Singapura,4
Japão,4
Luxemburgo,4
Países Baixos,4
Alemanha,4
Suíça,4
Coreia do Sul,4
Dinamarca,4
Islândia,4
Bélgica,4
Noruega,4
Finlândia,4
Irlanda,4
Lituânia,4
Suécia,4
Austrália,4
Itália,4
Malta,4
Estados Unidos,4
Reino Unido,4
Canadá,4
Nova Zelândia,4
França,4
Áustria,4
Estónia,4
Espanha,4
Grécia,4
Polónia,4
Hungria,4
Bulgária,4
Israel,4
Bielorrússia,4
Portugal,4
Chipre,4
Chile,4
Uruguai,4
Rússia,4
Geórgia,4
Emirados Árabes Unidos,2
Brunei,2
Argentina,4
Bahamas,4
Bósnia e Herzegovina,4
Barbados,4
Kuwait,2
Moldávia,4
Brasil,2
Costa Rica,2
Maurícia,4
Turquia,2
México,2
Cazaquistão,2
São Vicente e Granadinas,2
Granada,2
Albânia,2
Arábia Saudita,2
Jamaica,2
Antígua e Barbuda,2
Sri Lanka,2
Malásia,2
Peru,2
Tailândia,2
Suriname,2
Tunísia,2
Colômbia,2
China,1
Panamá,2
Fiji,2
Venezuela,2
Líbia,2
Tonga,2
Equador,2
Guiana,2
Azerbaijão,2
Mongólia,2
Samoa,2
Santa Lúcia,2
Jordânia,2
Argélia,2
El Salvador,2
República Dominicana,2
Indonésia,2
Nicarágua,2
Marrocos,2
Paraguai,2
Belize,2
Quirguistão,2
Bolívia,2
Uzbequistão,2
Filipinas,2
Omã,2
Cabo Verde,2
Maldivas,2
África do Sul,2
Honduras,2
Vanuatu,2
Iraque,2
Guatemala,2
Gabão,2
São Tomé e Príncipe,2
Índia,1
Botswana,3
Kiribati,2
Bangladesh,2
Gana,2
Butão,2
Camboja,2
Ilhas Salomão,2
Namíbia,3
Nepal,3
Laos,3
Paquistão,3
Timor-Leste,3
Senegal,3
Haiti,3
Camarões,3
Sudão,3
Togo,3
Ruanda,3
Zâmbia,3
Gâmbia,3
Lesoto,3
Eritreia,3
Guiné Equatorial,3
Mauritânia,3
Benim,3
Tanzânia,3
Etiópia,3
Nigéria,3
Guiné,3
Malawi,3
República Centro-Africana,3
Guiné-Bissau,3
Moçambique,3
Angola,3
República Democrática do Congo,3
Uganda,3
Afeganistão,3
Libéria,3
Burundi,3
Chade,3
Mali,3
Serra Leoa,3
